title,media_score,cast,short_review
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","Sure,Black Panther is a mainstream superhero movie with jaw-dropping action, balletic fight scenes, and CGI spectacle, but it is also a measured and extraordinary exploration of race and pride."
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","A taut triumph of Afrofuturist iconography realized in the propulsive, widescreen language of the superhero-blockbuster fantasy, and an elevation of that genre on every front."
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",Just about the same as every other Marvel title.
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",Here's the thing: you can enjoy Black Panther without having seen a single Marvel film beforehand. It is a stand-alone gem...
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","As the new king, T'Challa has to wrestle with a few issues that seem topical in today's society."
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",Brilliantly brought to life by the production design by Hannah Beachler and the costume design by Ruth E. Carter.
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","You know there must be something special about a superhero movie, an action superhero movie at that, to get my mother to see that movie. And not just once."
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",A dream come true! Near Perfection!
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",Black Panther is likely Marvel's most politically inspired film to date.
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","Believe the hype: This is a superhero flick unlike any we've ever seen, crafted by the unstoppable Ryan Coogler."
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","Black Panther not only stands up as a Hollywood blockbuster but conveys an adult and chronological context that touches upon slavery, the Civil Rights movement, Black Lives Matter and the current African-American plight."
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",Coogler firmly sports his crown in blurring the lines between the cultural importance Black Panther is set to play in bringing down the dinosaur illusions of Hollywood.
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","It's still somewhat overstuffed with an excess of characters and some undeniable hiccups in regards to pacing, but its filmmaking is slick, and the cast oozes charisma."
Black Panther,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","Black Panther is not just a superhero flick, it's a meaningful cultural hit that shows the power of diversity to tear down walls. [Full review in Spanish]"
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",A fabulous director and two awesome stars battle their way through a wonky script.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour","While it improves in the second half, Black Widow is too uneven and generic to recommend. Telling a story about freewill and liberation is ironically littered with too many artistic compromises."
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour","Fun, funny, and frenetic without being overwhelming. [Full Review in Spanish]"
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour","Johansson is good, better than she's been given the opportunity to be before with this role, but she - like Black Widow is still stunted in many ways by the vision the MCU has for Natasha which makes this feel more elegiac than energetic."
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour","Marvel finally releases the Black Widow origin story, but how many more years before we see another one?"
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",Natasha deserved a better memorial.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",Bland spy hooey. Although Pugh is a standout.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour","Black Widow is worth seeing for Florence Pugh, the free-fall action sequence, and anything involving Taskmaster before it's revealed who is under the mask. The film mostly feels like it was done better by the films it was supposedly influenced by."
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",The rawness made for a spirited episode that every Marvel fan needs to listen to.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour","It would've been amazing to receive this movie 4 years ago, now it's just too late. That doesn't mean it's not a worthy closure for a much beloved character. [Full review in Spanish]"
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",The positives do outweigh the negatives but it does frustratingly end up feeling middle-of-the-road in terms of the MCU output.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",Black Widow is not as tedious and self-serious an entry as some of them. But that is setting the bar low.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",What ensues is a film that isn't interested in planting seeds for future Marvel movies -- which is actually a refreshing change of pace.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",Pugh is the only victory for this vanilla Marvel movie. [...] Fans are left wondering what could have been. And Johansson is left fighting a lawsuit against the world's biggest entertainment behemoth - a mission that seems too much even for Natasha.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",Black Widow achieves the unthinkable and dethrones Thor: The Dark World as the worst film in the Marvel Cinematic Universe.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour","The spotlight should firmly be on her, or so you would have thought, but for all its acrobatic female kick-ass baddery poor old Natasha Romanoff has to share that limelight with her highly skilled ""family"" to bring down the patriarchy."
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",Almost completely lacking in Black Widow is any sense of outrage over the grotesque violations of human rights and human dignity at the root of the whole premise of the film.
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour","The problem with Black Widow is that the whole ordeal feels like an obligatory afterthought, simply going through the motions with only a perfunctory sense of charm."
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour","Black Widow has everything going on: dysfunctional families, sibling rivalry, a fatuous Russian superhero, a cackling Bond villain and an army of female assassins. What more do you want?"
Black Widow,79%,"Scarlett Johansson, Florence Pugh, David Harbour",Cate Shortland did a great job.
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",[The] Russos' take on Marvel's Civil War is refreshing and bookends two phases of the largely successful Marvel Cinematic Universe.
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",Another reliably bombastic entry in Marvel's enjoyable Avengers canon.
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",Captain America: Civil War delivers on every level. The eye-popping action moves the story forward and the humor brings the tension down a notch or two.
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson","In an era when superhero flicks hit theaters with the same frequency as bugs hit windshields, Captain America: Civil War still manages to rise above the fray and declare itself one of the finest pictures yet from Team Stan Lee."
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson","Captain America: Civil War shows that the overseers of the MCU have yet to rest on their laurels. If anything, this film indicates that they are redoubling their efforts to prove their dominance is well founded."
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",Is this the best Marvel film so far?
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",The many years and films that Marvel Studios spent world and character building are what makes Civil War work so well.
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson","At 147 minutes, Captain America: Civil War is probably a bit too long, but it has enough tense head-to-heads and eye-popping fight scenes to override the odd drop in momentum."
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson","All one can think about is the terrible waste of resources, technology and human skill represented by a film like Captain America: Civil War."
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",Never mind narrative economy - where's the story at all?
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson","Sets about establishing an exhaustingly circuitous plot of betrayal, infighting, espionage, terrorism, and covert operations."
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson","On the surface, it's one superhero against another. Deep down, it's two friends being separated due to a difference in ideology."
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson","Captain America: Civil War isn't a flawless film, though I'm guessing most diehard fans will be more in awe of it than newcomers to the Marvel universe."
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",Captain America: Civil War is what Avengers 2 should have been.
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",Civil War as a whole was a well done accumulation of previous themes and atonement for the events that occurred in previous Marvel installments.
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",This is the peak of Marvel's long form storytelling approach thus far-a jumping off point for things to come.
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson","The film is ... unexpectedly emotional. With the question of friendships and loyalties on the line, the plot does a good job of showing how these tensions honestly affect the characters deep down."
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",It's a regular movie that looks like a trailer of The Avengers. [Full review in Spanish]
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",I don't have time for this plotline anymore.
Captain America: Civil War,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson",It's fatiguing.
